selection,director,year_rev,voter,voter_url,voter_role,voter_critic_or_director,voter_country
Timbuktu,Abderrahmane Sissako,2014,Abiba Coulibaly,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abiba-coulibaly,Assistant Programmer,critic,UK
Beau Travail,Claire Denis,1998,Abiba Coulibaly,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abiba-coulibaly,Assistant Programmer,critic,UK
Happy Together,Wong Kar Wai,1997,Abiba Coulibaly,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abiba-coulibaly,Assistant Programmer,critic,UK
Guys And Dolls,Joseph L. Mankiewicz,1955,Abiba Coulibaly,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abiba-coulibaly,Assistant Programmer,critic,UK
Un Prophète,Jacques Audiard,2009,Abiba Coulibaly,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/abiba-coulibaly,Assistant Programmer,critic,UK
Tini Zabutykh Predkiv,Sergei Paradjanov,1964,Aboubakar Sanogo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aboubakar-sanogo,Associate Professor,critic,Burkina Faso / Canada
Touch Of Evil,Orson Welles,1958,Aboubakar Sanogo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aboubakar-sanogo,Associate Professor,critic,Burkina Faso / Canada
Touki Bouki,Djibril Diop Mambéty,1973,Aboubakar Sanogo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aboubakar-sanogo,Associate Professor,critic,Burkina Faso / Canada
Umut,Yilmaz Güney,1970,Aboubakar Sanogo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aboubakar-sanogo,Associate Professor,critic,Burkina Faso / Canada
Pather Panchali,Satyajit Ray,1955,Aboubakar Sanogo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aboubakar-sanogo,Associate Professor,critic,Burkina Faso / Canada
Gav,Dariush Mehrjui,1969,Aboubakar Sanogo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aboubakar-sanogo,Associate Professor,critic,Burkina Faso / Canada
Los Olvidados,Luis Buñuel,1950,Aboubakar Sanogo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aboubakar-sanogo,Associate Professor,critic,Burkina Faso / Canada
Yaaba,Idrissa Ouédraogo,1989,Aboubakar Sanogo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aboubakar-sanogo,Associate Professor,critic,Burkina Faso / Canada
Testament: 1988,John Akomfrah,1988,Aboubakar Sanogo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aboubakar-sanogo,Associate Professor,critic,Burkina Faso / Canada
West Indies: The Fugitive Slaves Of Liberty,Med Hondo,1979,Aboubakar Sanogo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aboubakar-sanogo,Associate Professor,critic,Burkina Faso / Canada
Pierrot Le Fou,Jean-Luc Godard,1965,Adam Batty,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-batty,,critic,UK
Beau Travail,Claire Denis,1998,Adam Batty,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-batty,,critic,UK
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Adam Batty,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-batty,,critic,UK
Pickpocket,Robert Bresson,1959,Adam Batty,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-batty,,critic,UK
Le Pont Du Nord,Jacques Rivette,1982,Adam Batty,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-batty,,critic,UK
Vagabond,Agnès Varda,1985,Adam Batty,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-batty,,critic,UK
Johnny Guitar,Nicholas Ray,1954,Adam Batty,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-batty,,critic,UK
Apocalypse Now,Francis Ford Coppola,1979,Adam Batty,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-batty,,critic,UK
Do The Right Thing,Spike Lee,1989,Adam Batty,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-batty,,critic,UK
Goodfellas,Martin Scorsese,1990,Adam Batty,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-batty,,critic,UK
The Bill Douglas Trilogy,Bill Douglas,"1972, 1973, 1978",Adam Chodzko,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-chodzko,Artist,director,UK
Salam Cinéma,Mohsen Makhmalbaf,1995,Adam Chodzko,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-chodzko,Artist,director,UK
Umarete Wa Mita Keredo,Yasujirō Ozu,1932,Adam Chodzko,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-chodzko,Artist,director,UK
