selection,director,year_rev,voter,voter_url,voter_role,voter_critic_or_director,voter_country
The Wings Of Eagles,John Ford,1956,Lucas Granero,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucas-granero,"Film critic, La vida útil",critic,Argentina
Two-Lane Blacktop,Monte Hellman,1971,Lucas Granero,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucas-granero,"Film critic, La vida útil",critic,Argentina
The Text Of Light,Stan Brakhage,1974,Lucas Granero,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucas-granero,"Film critic, La vida útil",critic,Argentina
"Lost, Lost, Lost",Jonas Mekas,1976,Lucas Granero,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucas-granero,"Film critic, La vida útil",critic,Argentina
Flammes,Adolfo Arrieta,1978,Lucas Granero,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucas-granero,"Film critic, La vida útil",critic,Argentina
Ofrenda,Claudio Caldini,1978,Lucas Granero,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucas-granero,"Film critic, La vida útil",critic,Argentina
Blow Out,Brian De Palma,1981,Lucas Granero,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucas-granero,"Film critic, La vida útil",critic,Argentina
L'argent,Robert Bresson,1983,Lucas Granero,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucas-granero,"Film critic, La vida útil",critic,Argentina
L' Empire Des Sens,Nagisa Oshima,1976,Lucia Nagib,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-nagib,"Professor in Film, University of Reading",critic,UK
Tokyo Story,Yasujirō Ozu,1953,Lucia Nagib,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-nagib,"Professor in Film, University of Reading",critic,UK
Ossessione,Luchino Visconti,1943,Lucia Nagib,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-nagib,"Professor in Film, University of Reading",critic,UK
The 400 Blows,François Truffaut,1959,Lucia Nagib,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-nagib,"Professor in Film, University of Reading",critic,UK
Atanarjuat The Fast Runner,Zacharias Kunuk,2001,Lucia Nagib,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-nagib,"Professor in Film, University of Reading",critic,UK
Metropolis,Fritz Lang,1927,Lucia Nagib,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-nagib,"Professor in Film, University of Reading",critic,UK
In Film Nist,"Jafar Panahi, Mojtaba Mirtahmaseb",2011,Lucia Nagib,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-nagib,"Professor in Film, University of Reading",critic,UK
Mädchen In Uniform,Leontine Sagan,1931,Lucia Nagib,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-nagib,"Professor in Film, University of Reading",critic,UK
Pather Panchali,Satyajit Ray,1955,Lucia Nagib,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-nagib,"Professor in Film, University of Reading",critic,UK
Deus E O Diabo Na Terra Do Sol,Glauber Rocha,1964,Lucia Nagib,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-nagib,"Professor in Film, University of Reading",critic,UK
Falling Lessons,Amy Halpern,1993,Lucía Salas,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-salas,Film Critic/Programmer,critic,Argentina/Spain
Sicilia!,"Danièle Huillet, Jean-Marie Straub",1999,Lucía Salas,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-salas,Film Critic/Programmer,critic,Argentina/Spain
Winter Ade,Helke Misselwitz,1988,Lucía Salas,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-salas,Film Critic/Programmer,critic,Argentina/Spain
Que Vivan Los Crotos,Ana Poliak,1990,Lucía Salas,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-salas,Film Critic/Programmer,critic,Argentina/Spain
By The Bluest Of Seas,Boris Barnet,1935,Lucía Salas,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-salas,Film Critic/Programmer,critic,Argentina/Spain
Nagaya Shinshiroku,Yasujirō Ozu,1947,Lucía Salas,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-salas,Film Critic/Programmer,critic,Argentina/Spain
Gertrud,Carl Th. Dreyer,1964,Lucía Salas,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-salas,Film Critic/Programmer,critic,Argentina/Spain
The Smiling Lieutenant,Ernst Lubitsch,1931,Lucía Salas,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-salas,Film Critic/Programmer,critic,Argentina/Spain
Céline And Julie Go Boating,Jacques Rivette,1974,Lucía Salas,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-salas,Film Critic/Programmer,critic,Argentina/Spain
The Grapes Of Wrath,John Ford,1940,Lucía Salas,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-salas,Film Critic/Programmer,critic,Argentina/Spain
Elephant: 2003,Gus Van Sant,2003,Lucía Seles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-seles,classical guitarist and graphomaniac,director,Chile
Berlin Alexanderplatz,,NA,Lucía Seles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-seles,classical guitarist and graphomaniac,director,Chile
"Ich Will Doch Nur, Daß Ihr Mich Liebt",Rainer Werner Fassbinder,1976,Lucía Seles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-seles,classical guitarist and graphomaniac,director,Chile
Weak Rangers,lucia seles,NA,Lucía Seles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-seles,classical guitarist and graphomaniac,director,Chile
Europe 16,Lucía Seles,2022,Lucía Seles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-seles,classical guitarist and graphomaniac,director,Chile
Stroszek,Werner Herzog,1977,Lucía Seles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-seles,classical guitarist and graphomaniac,director,Chile
Taxi Driver,Martin Scorsese,1976,Lucía Seles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-seles,classical guitarist and graphomaniac,director,Chile
The Disenchantment,Jaime Chávarri,1976,Lucía Seles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-seles,classical guitarist and graphomaniac,director,Chile
The Bad And The Beautiful,Vincente Minnelli,1952,Lucía Seles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-seles,classical guitarist and graphomaniac,director,Chile
Vivir En Sevilla,gonzalo garcia-pelayo,1978,Lucía Seles,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucia-seles,classical guitarist and graphomaniac,director,Chile
Stagecoach,John Ford,1939,Luciano Barisone,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-barisone,"Film Critic, Film Festival Programmer and Director, Creative producer",critic,Switzerland/Italy
Battleship Potemkin,Sergei M. Eisenstein,1925,Luciano Barisone,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-barisone,"Film Critic, Film Festival Programmer and Director, Creative producer",critic,Switzerland/Italy
Citizen Kane,Orson Welles,1941,Luciano Barisone,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-barisone,"Film Critic, Film Festival Programmer and Director, Creative producer",critic,Switzerland/Italy
Tokyo Story,Yasujirō Ozu,1953,Luciano Barisone,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-barisone,"Film Critic, Film Festival Programmer and Director, Creative producer",critic,Switzerland/Italy
Viridiana,Luis Buñuel,1961,Luciano Barisone,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-barisone,"Film Critic, Film Festival Programmer and Director, Creative producer",critic,Switzerland/Italy
Journey To Italy,Roberto Rossellini,1954,Luciano Barisone,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-barisone,"Film Critic, Film Festival Programmer and Director, Creative producer",critic,Switzerland/Italy
The 400 Blows,François Truffaut,1959,Luciano Barisone,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-barisone,"Film Critic, Film Festival Programmer and Director, Creative producer",critic,Switzerland/Italy
À Bout De Souffle,Jean-Luc Godard,1960,Luciano Barisone,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-barisone,"Film Critic, Film Festival Programmer and Director, Creative producer",critic,Switzerland/Italy
Im Lauf Der Zeit,Wim Wenders,1976,Luciano Barisone,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-barisone,"Film Critic, Film Festival Programmer and Director, Creative producer",critic,Switzerland/Italy
The House Is Black,Forough Farokhzad,1962,Luciano Barisone,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-barisone,"Film Critic, Film Festival Programmer and Director, Creative producer",critic,Switzerland/Italy
"Este Es El Romance Del Aniceto Y La Francisca, De Cómo Quedó Trunco, Comenzó La Tristeza Y Unas Pocas Cosas Más…",Leonardo Favio,1967,Luciano Monteagudo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-monteagudo,film critic and curator,critic,Argentina
La Batalla De Chile: La Lucha De Un Pueblo Sin Armas: La Insur Eccion De La Burguesia,Patricio Guzmán,1975,Luciano Monteagudo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-monteagudo,film critic and curator,critic,Argentina
La Ciénaga,Lucrecia Martel,2001,Luciano Monteagudo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-monteagudo,film critic and curator,critic,Argentina
Los Olvidados,Luis Buñuel,1950,Luciano Monteagudo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-monteagudo,film critic and curator,critic,Argentina
Limite,Mário Peixoto,1931,Luciano Monteagudo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-monteagudo,film critic and curator,critic,Argentina
The Hour Of The Furnaces,Fernando Solanas,1968,Luciano Monteagudo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-monteagudo,film critic and curator,critic,Argentina
Deus E O Diabo Na Terra Do Sol,Glauber Rocha,1964,Luciano Monteagudo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-monteagudo,film critic and curator,critic,Argentina
Chircales,"Marta Rodriguez, Jorge Silva",1972,Luciano Monteagudo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-monteagudo,film critic and curator,critic,Argentina
Invasión,Hugo Santiago,1969,Luciano Monteagudo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-monteagudo,film critic and curator,critic,Argentina
Hamaca Paraguaya,Paz Encina,2006,Luciano Monteagudo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luciano-monteagudo,film critic and curator,critic,Argentina
2001: A Space Odyssey,Stanley Kubrick,1968,Lucile Hadžihalilović,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucile-hadzihalilovic,filmmaker,director,france
Stalker,Andrei Tarkovsky,1979,Lucile Hadžihalilović,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucile-hadzihalilovic,filmmaker,director,france
Saikaku Ichidai Onna,Kenji Mizoguchi,1952,Lucile Hadžihalilović,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucile-hadzihalilovic,filmmaker,director,france
The Ascent,Larissa Shepitko,1976,Lucile Hadžihalilović,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucile-hadzihalilovic,filmmaker,director,france
Grave Of The Fireflies,Isao Takahata,1988,Lucile Hadžihalilović,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucile-hadzihalilovic,filmmaker,director,france
The Red Shoes,"Michael Powell, Emeric Pressburger",1948,Lucile Hadžihalilović,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucile-hadzihalilovic,filmmaker,director,france
Last Year At Marienbad,Alain Resnais,1961,Lucile Hadžihalilović,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucile-hadzihalilovic,filmmaker,director,france
Tabu  A Story Of The South Seas,F.W. Murnau,1931,Lucile Hadžihalilović,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucile-hadzihalilovic,filmmaker,director,france
Mamma Roma,Pier Paolo Pasolini,1962,Lucile Hadžihalilović,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucile-hadzihalilovic,filmmaker,director,france
The Spirit Of The Beehive,Víctor Erice,1973,Lucile Hadžihalilović,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucile-hadzihalilovic,filmmaker,director,france
One Week,"Buster Keaton, Eddie Cline",1920,Lucrecia Matarozzo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucrecia-matarozzo,Film Programmer,critic,Argentina
Ordet,Carl Th. Dreyer,1955,Lucrecia Matarozzo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucrecia-matarozzo,Film Programmer,critic,Argentina
Mon Oncle,Jacques Tati,1958,Lucrecia Matarozzo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucrecia-matarozzo,Film Programmer,critic,Argentina
Au Hasard Balthazar,Robert Bresson,1966,Lucrecia Matarozzo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucrecia-matarozzo,Film Programmer,critic,Argentina
Where Is The Friend's House?,Abbas Kiarostami,1987,Lucrecia Matarozzo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucrecia-matarozzo,Film Programmer,critic,Argentina
Rosetta,"Luc Dardenne, Jean-Pierre Dardenne",1999,Lucrecia Matarozzo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucrecia-matarozzo,Film Programmer,critic,Argentina
In The Mood For Love,Wong Kar Wai,2000,Lucrecia Matarozzo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucrecia-matarozzo,Film Programmer,critic,Argentina
Stellet Licht,Carlos Reygadas,2007,Lucrecia Matarozzo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucrecia-matarozzo,Film Programmer,critic,Argentina
Tabu,Miguel Gomes,2012,Lucrecia Matarozzo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucrecia-matarozzo,Film Programmer,critic,Argentina
Zama,Lucrecia Martel,2017,Lucrecia Matarozzo,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucrecia-matarozzo,Film Programmer,critic,Argentina
The Birds,Alfred Hitchcock,1963,Lucy Bolton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-bolton,Reader in Film Studies,critic,UK
Fish Tank,Andrea Arnold,2009,Lucy Bolton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-bolton,Reader in Film Studies,critic,UK
In The Cut,Jane Campion,2003,Lucy Bolton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-bolton,Reader in Film Studies,critic,UK
Marie Antoinette,Sofia Coppola,2005,Lucy Bolton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-bolton,Reader in Film Studies,critic,UK
Once Upon A Time In The West,Sergio Leone,1968,Lucy Bolton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-bolton,Reader in Film Studies,critic,UK
Alien,Ridley Scott,1979,Lucy Bolton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-bolton,Reader in Film Studies,critic,UK
Gentlemen Prefer Blondes,Howard Hawks,1953,Lucy Bolton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-bolton,Reader in Film Studies,critic,UK
North By Northwest,Alfred Hitchcock,1959,Lucy Bolton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-bolton,Reader in Film Studies,critic,UK
East Of Eden,Elia Kazan,1955,Lucy Bolton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-bolton,Reader in Film Studies,critic,UK
Jaws,Steven Spielberg,1975,Lucy Bolton,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-bolton,Reader in Film Studies,critic,UK
The Spirit Of The Beehive,Víctor Erice,1973,Lucy Cohen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-cohen,Writer/Director,director,UK
"Aguirre, Wrath Of God",Werner Herzog,1972,Lucy Cohen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-cohen,Writer/Director,director,UK
Persona,Ingmar Bergman,1966,Lucy Cohen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-cohen,Writer/Director,director,UK
The 400 Blows,François Truffaut,1959,Lucy Cohen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-cohen,Writer/Director,director,UK
Once Upon A Time In The West,Sergio Leone,1968,Lucy Cohen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-cohen,Writer/Director,director,UK
Walkabout,Nicolas Roeg,1970,Lucy Cohen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-cohen,Writer/Director,director,UK
Kes,Ken Loach,1969,Lucy Cohen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-cohen,Writer/Director,director,UK
Ratcatcher,Lynne Ramsay,1999,Lucy Cohen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-cohen,Writer/Director,director,UK
"Paris, Texas",Wim Wenders,1984,Lucy Cohen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-cohen,Writer/Director,director,UK
Badlands,Terrence Malick,1973,Lucy Cohen,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-cohen,Writer/Director,director,UK
Out 1: Spectre,Jacques Rivette,1973,Lucy Sante,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-sante,writer,critic,USA
La Maman Et La Putain,Jean Eustache,1973,Lucy Sante,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-sante,writer,critic,USA
Le Crime De M. Lange,Jean Renoir,1935,Lucy Sante,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-sante,writer,critic,USA
L'atalante,Jean Vigo,1934,Lucy Sante,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-sante,writer,critic,USA
Leave Her To Heaven,John M. Stahl,1946,Lucy Sante,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-sante,writer,critic,USA
Only Angels Have Wings,Howard Hawks,1939,Lucy Sante,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-sante,writer,critic,USA
Eijanaka,Shohei Imamura,1981,Lucy Sante,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-sante,writer,critic,USA
Blonde Venus,Josef von Sternberg,1932,Lucy Sante,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-sante,writer,critic,USA
La Vie De Bohème,Aki Kaurismäki,1992,Lucy Sante,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-sante,writer,critic,USA
Greed,Erich von Stroheim,1923,Lucy Sante,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lucy-sante,writer,critic,USA
L'atalante,Jean Vigo,1934,Luis Martínez,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-martinez,"headline critic of Diario ""El Mundo""",critic,Spain
Pather Panchali,Satyajit Ray,1955,Luis Martínez,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-martinez,"headline critic of Diario ""El Mundo""",critic,Spain
Amarcord,Federico Fellini,1972,Luis Martínez,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-martinez,"headline critic of Diario ""El Mundo""",critic,Spain
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Luis Martínez,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-martinez,"headline critic of Diario ""El Mundo""",critic,Spain
Mirror,Andrei Tarkovsky,1975,Luis Martínez,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-martinez,"headline critic of Diario ""El Mundo""",critic,Spain
Barry Lyndon,Stanley Kubrick,1975,Luis Martínez,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-martinez,"headline critic of Diario ""El Mundo""",critic,Spain
Blue Velvet,David Lynch,1986,Luis Martínez,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-martinez,"headline critic of Diario ""El Mundo""",critic,Spain
Hable Con Ella,Pedro Almodóvar,2002,Luis Martínez,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-martinez,"headline critic of Diario ""El Mundo""",critic,Spain
High Life,Claire Denis,2018,Luis Martínez,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-martinez,"headline critic of Diario ""El Mundo""",critic,Spain
The River: 1951,Jean Renoir,1951,Luis Martínez,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-martinez,"headline critic of Diario ""El Mundo""",critic,Spain
M,Fritz Lang,1931,Luís Miguel Oliveira,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miguel-oliveira,Film critic / film programmer (Cinemateca Portuguesa),critic,Portugal
La Chienne,Jean Renoir,1931,Luís Miguel Oliveira,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miguel-oliveira,Film critic / film programmer (Cinemateca Portuguesa),critic,Portugal
City Lights,Charles Chaplin,1931,Luís Miguel Oliveira,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miguel-oliveira,Film critic / film programmer (Cinemateca Portuguesa),critic,Portugal
An American Tragedy,Josef von Sternberg,1931,Luís Miguel Oliveira,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miguel-oliveira,Film critic / film programmer (Cinemateca Portuguesa),critic,Portugal
Die 3-Groschen-Oper,G.W. Pabst,1931,Luís Miguel Oliveira,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miguel-oliveira,Film critic / film programmer (Cinemateca Portuguesa),critic,Portugal
The Last Flight,Wilhelm Dieterle,1931,Luís Miguel Oliveira,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miguel-oliveira,Film critic / film programmer (Cinemateca Portuguesa),critic,Portugal
Tokyo No Korasu,Yasujirō Ozu,1931,Luís Miguel Oliveira,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miguel-oliveira,Film critic / film programmer (Cinemateca Portuguesa),critic,Portugal
Ze Soboty Na Nedeli,Gustav Machaty,1931,Luís Miguel Oliveira,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miguel-oliveira,Film critic / film programmer (Cinemateca Portuguesa),critic,Portugal
Enthusiasm,Dziga Vertov,1931,Luís Miguel Oliveira,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miguel-oliveira,Film critic / film programmer (Cinemateca Portuguesa),critic,Portugal
Tabu  A Story Of The South Seas,F.W. Murnau,1931,Luís Miguel Oliveira,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miguel-oliveira,Film critic / film programmer (Cinemateca Portuguesa),critic,Portugal
Au Hasard Balthazar,Robert Bresson,1966,Luis Miranda,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miranda,"FILM FESTIVAL DIRECTOR (Las Palmas de Gran Canaria International Film Festival), UNIVERSITY PROF. HISTORY OF CINEMA",critic,Spain
The Birds,Alfred Hitchcock,1963,Luis Miranda,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miranda,"FILM FESTIVAL DIRECTOR (Las Palmas de Gran Canaria International Film Festival), UNIVERSITY PROF. HISTORY OF CINEMA",critic,Spain
Campanadas A Medianoche,Orson Welles,1966,Luis Miranda,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miranda,"FILM FESTIVAL DIRECTOR (Las Palmas de Gran Canaria International Film Festival), UNIVERSITY PROF. HISTORY OF CINEMA",critic,Spain
Late Spring,Yasujirō Ozu,1949,Luis Miranda,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miranda,"FILM FESTIVAL DIRECTOR (Las Palmas de Gran Canaria International Film Festival), UNIVERSITY PROF. HISTORY OF CINEMA",critic,Spain
Sherlock Jr.,Buster Keaton,1924,Luis Miranda,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miranda,"FILM FESTIVAL DIRECTOR (Las Palmas de Gran Canaria International Film Festival), UNIVERSITY PROF. HISTORY OF CINEMA",critic,Spain
Zangiku Monogatari,Kenji Mizoguchi,1939,Luis Miranda,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miranda,"FILM FESTIVAL DIRECTOR (Las Palmas de Gran Canaria International Film Festival), UNIVERSITY PROF. HISTORY OF CINEMA",critic,Spain
Sans Soleil,Chris Marker,1982,Luis Miranda,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miranda,"FILM FESTIVAL DIRECTOR (Las Palmas de Gran Canaria International Film Festival), UNIVERSITY PROF. HISTORY OF CINEMA",critic,Spain
Zir-E Darakhtan-E Zeyton,Abbas Kiarostami,1994,Luis Miranda,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miranda,"FILM FESTIVAL DIRECTOR (Las Palmas de Gran Canaria International Film Festival), UNIVERSITY PROF. HISTORY OF CINEMA",critic,Spain
"Twin Peaks. The Return, Part 8",David Lynch,2017,Luis Miranda,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miranda,"FILM FESTIVAL DIRECTOR (Las Palmas de Gran Canaria International Film Festival), UNIVERSITY PROF. HISTORY OF CINEMA",critic,Spain
Ordet,Carl Th. Dreyer,1955,Luis Miranda,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/luis-miranda,"FILM FESTIVAL DIRECTOR (Las Palmas de Gran Canaria International Film Festival), UNIVERSITY PROF. HISTORY OF CINEMA",critic,Spain
Strange Days,Kathryn Bigelow,1995,Lukas Foerster,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/lukas-foerster,Writer,critic,Germany
